id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,address,_geom,EGID
3001333366,27511.03.0004,rent,2021-09-30T14:31:12,,GF,870,,,,32,2022,Ahornstrasse 23b,St. Gallen,9000,"Ahornstrasse 23b, 9000 St. Gallen",POINT (9.347139358520508 47.414615631103516),191823739_0
3001352179,A9HNJ3R_22HCU5N,rent,2021-09-30T14:31:12,,3,865,,,,60,,Rappensteinstrasse 7,St. Gallen,9000,"Rappensteinstrasse 7, 9000 St. Gallen",POINT (9.397700309753418 47.430755615234375),1075913_0
3001175690,505.301,rent,2021-09-30T14:31:12,,3,1484,250,1234,,95,1900,Aeplistrasse 5,St. Gallen,9008,"Aeplistrasse 5, 9008 St. Gallen",POINT (9.387185096740723 47.43455123901367),1074812_0
3001314341,46235317,rent,2021-09-30T14:31:12,,,990,,,,51,,Rorschacherstrasse 231,St. Gallen,9016,"Rorschacherstrasse 231, 9016 St. Gallen",,
3000821708,864624.769746.092210a0-4915-11eb-a40c-005056bdbc06,rent,2021-09-30T14:31:12,,2,880,,,,,,Teufenerstrasse 146,St. Gallen,9000,"Teufenerstrasse 146, 9000 St. Gallen",,
3001309858,08058.01.0101,rent,2021-09-30T14:31:12,,GF,1000,110,890,,45,1920,Brühlbleichestrasse 10,St. Gallen,9000,"Brühlbleichestrasse 10, 9000 St. Gallen",POINT (9.383402824401855 47.430503845214844),1072939_0
3001285654,Falkensteinstrasse 5 - 2 ZWG.870234.1ded9214-0192-11ec-bf79-005056bdbc06,rent,2021-09-30T14:31:12,,GF,995,220,775,,57,,Falkensteinstrasse 5,St. Gallen,9000,"Falkensteinstrasse 5, 9000 St. Gallen",POINT (9.391743659973145 47.42999267578125),1076035_0
3001285655,SG-Singenbergstrasse8-001.870238.eee50ed6-ef82-11eb-83fa-005056bdbc06,rent,2021-09-30T14:31:12,,3,840,,,,,,Singenbergstrasse 8,St. Gallen,9000,"Singenbergstrasse 8, 9000 St. Gallen",POINT (9.384617805480957 47.427433013916016),1073669_0
3001219305,859212.e6807ac3-e9ff-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:12,,5,995,140,855,,42,,Burgstrasse 21,St. Gallen,9000,"Burgstrasse 21, 9000 St. Gallen",POINT (9.363144874572754 47.41933822631836),1071051_0
3001192364,Falkensteinstrasse 5 2.OG - 001.779598.087d6254-5bd8-11eb-8230-005056bdbc06,rent,2021-09-30T14:31:12,,GF,775,,,,58,,Falkensteinstrasse 5,St. Gallen,9000,"Falkensteinstrasse 5, 9000 St. Gallen",POINT (9.391743659973145 47.42999267578125),1076035_0
