id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy
3001251045,SG-Müller-Friedbergstrasse 11.864611.d81f81f8-f5cc-11eb-8985-005056bdbc06,rent,2021-10-12T20:48:12,,GF,1390,,,,,,Müller-Friedberg-Strasse 11,St. Gallen,9000,47.428825378418,9.37507438659668,POINT (9.37507438659668 47.42882537841797),1073054,
3001252594,5690.13.2005,rent,2021-10-12T23:09:56,,2,1160,,,,58,2003,Haggenstr. 56,St. Gallen,9014,47.4062271118164,9.33734130859375,POINT (9.33734130859375 47.406227111816406),190209198,0.0
3001252596,5690.05.2001,rent,2021-10-12T19:07:47,,2,1430,,,,80,2003,Haggenstr. 58,St. Gallen,9014,47.4060325622559,9.33769130706787,POINT (9.337691307067871 47.40603256225586),160006252,0.111111111111111
3001252875,"SG-Hirtenstrasse 6, 4-ZWG 1.OG links.864915.b6d3c342-f67c-11eb-8985-005056bdbc06",rent,2021-10-12T19:38:43,,1,1740,,,,,,Hirtenstrasse 6,St. Gallen,9008,47.4403991699219,9.38448143005371,POINT (9.384481430053711 47.440399169921875),1075400,
3001253414,Multergasse65OG,rent,2021-10-13T08:18:28,,4,3360,350,3010,,150,,Multergasse 6,St. Gallen,9000,47.4246520996094,9.37599945068359,POINT (9.375999450683594 47.424652099609375),2363656,0.25
3001253435,901601.1.20071061,rent,2021-10-13T08:39:50,,6,1270,200,1070,,,1966,Rehetobelstrasse 71,St. Gallen,9016,47.433292388916,9.41182422637939,POINT (9.411824226379395 47.433292388916016),,
3001259571,1401.4ZWG,rent,2021-10-13T07:27:31,,4,1320,,,,,,Flurhofstrasse 16,St. Gallen,9000,47.427059173584,9.38951015472412,POINT (9.389510154724121 47.427059173583984),1073701,
3001259959,8904.41.0102,rent,2021-10-12T19:07:41,,1,1580,265,1315,,92,1995,Brauerstrasse 81,St. Gallen,9016,47.442699432373,9.41032409667969,POINT (9.410324096679688 47.44269943237305),2363059,0.0
3001260432,10104.1.1012,rent,2021-10-12T23:09:56,,1,1190,,,,48,,Rickenstrasse 4,St. Gallen,9014,47.407772064209,9.33381938934326,POINT (9.333819389343262 47.407772064208984),1069556,0.0
3001260433,10033.1.1012,rent,2021-10-12T19:05:05,,1,870,80,790,,30,1924,Buchentalstrasse 5,St. Gallen,9000,47.4334945678711,9.39832019805908,POINT (9.398320198059082 47.433494567871094),1076203,0.0
